driver_age_band,driver_experience,time_of_day,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
31-50,1-2yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Morning,5-10yrs,Lorry,Normal,Gravel roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Afternoon,Unknown,Other,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
31-50,Above 10yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Morning,Unknown,Public_transport,Normal,Earth roads,Daylight,Owner,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Evening,Unknown,Public_transport,Normal,Asphalt roads,Darkness - no lighting,Employee,Owner,Unknown,Serious Injury
Over 51,Below 1yr,Afternoon,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Over 51,5-10yr,Afternoon,Unknown,Lorry,Other,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Under 18,5-10yr,Afternoon,2-5yrs,Other,Other,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Over 51,5-10yr,Morning,Below 1yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,5-10yrs,Pickup,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Morning,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Serious Injury
18-30,5-10yr,Afternoon,Below 1yr,Automobile,Normal,Unknown,Daylight,Owner,Owner,No defect,Serious Injury
18-30,1-2yr,Evening,1-2yr,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Evening,1-2yr,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Over 51,2-5yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,7,Slight Injury
31-50,5-10yr,Afternoon,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,2-5yrs,Other,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Evening,2-5yrs,Other,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Above 10yr,Pickup,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Under 18,5-10yr,Afternoon,5-10yrs,Pickup,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Slight Injury
18-30,1-2yr,Afternoon,Below 1yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Morning,Unknown,Public_transport,Normal,Unknown,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
31-50,5-10yr,Evening,Unknown,Automobile,Unknown,Asphalt roads,Daylight,Owner,Owner,Unknown,Serious Injury
18-30,5-10yr,Afternoon,Unknown,Other,Raining and Windy,Asphalt roads,Darkness - lights lit,Employee,Governmental,No defect,Slight Injury
18-30,Below 1yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Over 51,Above 10yr,Afternoon,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Afternoon,5-10yrs,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,Above 10yr,Afternoon,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Employee,Governmental,Unknown,Slight Injury
31-50,Above 10yr,Evening,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Other,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,1-2yr,Evening,1-2yr,Automobile,Raining,Asphalt roads,Darkness - lights lit,Employee,Governmental,No defect,Slight Injury
18-30,Above 10yr,Morning,5-10yrs,Lorry,Cloudy,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Evening,Below 1yr,Public_transport,Cloudy,Asphalt roads,Darkness - lights lit,Employee,Governmental,No defect,Slight Injury
18-30,Unknown,Afternoon,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Evening,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Evening,Unknown,Lorry,Raining,Other,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Under 18,5-10yr,Afternoon,Unknown,Unknown,Other,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
31-50,Above 10yr,Afternoon,5-10yrs,Automobile,Other,Asphalt roads,Darkness - lights lit,Employee,Governmental,No defect,Slight Injury
18-30,1-2yr,Evening,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,Below 1yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Over 51,2-5yr,Afternoon,Unknown,Pickup,Fog or mist,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,Above 10yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Evening,Unknown,Public_transport,Normal,Asphalt roads,Darkness - no lighting,Employee,Governmental,No defect,Slight Injury
31-50,Above 10yr,Morning,Above 10yr,Automobile,Raining,Earth roads,Daylight,Employee,Owner,No defect,Slight Injury
Under 18,1-2yr,Evening,Above 10yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
Under 18,5-10yr,Evening,Unknown,Unknown,Normal,Gravel roads,Darkness - lights lit,Employee,Governmental,No defect,Slight Injury
Over 51,2-5yr,Afternoon,Unknown,Pickup,Normal,Earth roads,Darkness - lights lit,Employee,Owner,Unknown,Serious Injury
18-30,5-10yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Darkness - no lighting,Employee,Owner,Unknown,Serious Injury
Over 51,2-5yr,Morning,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Slight Injury
31-50,2-5yr,Morning,Below 1yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
31-50,2-5yr,Morning,Unknown,Unknown,Other,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Afternoon,Unknown,Public_transport,Other,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Evening,Unknown,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,Unknown,Evening,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Unknown,Owner,Unknown,Slight Injury
Unknown,5-10yr,Afternoon,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Slight Injury
31-50,1-2yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Over 51,2-5yr,Morning,2-5yrs,Automobile,Raining,Asphalt roads,Daylight,Employee,Organization,No defect,Slight Injury
18-30,5-10yr,Night,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Over 51,Above 10yr,Evening,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Governmental,No defect,Serious Injury
Unknown,2-5yr,Evening,2-5yrs,Public_transport,Normal,Gravel roads,Darkness - lights lit,Employee,Owner,No defect,Serious Injury
18-30,2-5yr,Evening,2-5yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
31-50,2-5yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,7,Slight Injury
18-30,Below 1yr,Afternoon,1-2yr,Public_transport,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
31-50,Above 10yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Organization,No defect,Slight Injury
31-50,2-5yr,Morning,Above 10yr,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Morning,2-5yrs,Motorcycle,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
31-50,No Licence,Evening,Unknown,Automobile,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
31-50,Below 1yr,Evening,Above 10yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Organization,No defect,Slight Injury
31-50,5-10yr,Evening,Above 10yr,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,Unknown,Slight Injury
Over 51,2-5yr,Evening,Unknown,Automobile,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Afternoon,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Unknown,5-10yr,Evening,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Employee,Organization,Unknown,Slight Injury
31-50,Below 1yr,Evening,5-10yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
31-50,1-2yr,Afternoon,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Unknown,No defect,Slight Injury
31-50,Below 1yr,Afternoon,5-10yrs,Pickup,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
18-30,Above 10yr,Evening,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Unknown,Above 10yr,Morning,5-10yrs,Taxi,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
31-50,Below 1yr,Morning,2-5yrs,Taxi,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,2-5yrs,Other,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Evening,2-5yrs,Pickup,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,Unknown,Serious Injury
18-30,5-10yr,Night,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,Above 10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Unknown,2-5yr,Evening,5-10yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
Over 51,Below 1yr,Afternoon,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Unknown,Evening,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Afternoon,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,2-5yr,Afternoon,Above 10yr,Unknown,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Afternoon,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Afternoon,1-2yr,Public_transport,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
Over 51,Below 1yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Unknown,Afternoon,Unknown,Bicycle,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Afternoon,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,Above 10yr,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,Below 1yr,Afternoon,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Above 10yr,Unknown,Raining,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,1-2yr,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Employee,Governmental,No defect,Slight Injury
18-30,5-10yr,Evening,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Afternoon,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,1-2yr,Other,Normal,Asphalt roads with some distress,Daylight,Owner,Owner,No defect,Slight Injury
31-50,1-2yr,Morning,Unknown,Other,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
Unknown,1-2yr,Morning,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Afternoon,2-5yrs,Lorry,Raining,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Morning,5-10yrs,Other,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Morning,Above 10yr,Other,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Morning,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Unknown,Evening,Unknown,Unknown,Normal,Asphalt roads,Daylight,Unknown,Unknown,Unknown,Slight Injury
18-30,2-5yr,Afternoon,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,Above 10yr,Afternoon,Above 10yr,Other,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
18-30,Unknown,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Unknown,Unknown,Unknown,Slight Injury
Unknown,Unknown,Evening,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
Under 18,5-10yr,Night,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
18-30,Below 1yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
Over 51,5-10yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,5-10yrs,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Evening,Above 10yr,Pickup,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Evening,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
Over 51,2-5yr,Evening,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Morning,1-2yr,Pickup,Raining,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Under 18,Above 10yr,Afternoon,Above 10yr,Other,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Morning,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
Over 51,5-10yr,Afternoon,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Unknown,Morning,Unknown,Unknown,Normal,Asphalt roads,Daylight,Unknown,Unknown,Unknown,Slight Injury
31-50,Unknown,Evening,Unknown,Automobile,Normal,Asphalt roads,Daylight,Unknown,Unknown,Unknown,Slight Injury
Unknown,Unknown,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Unknown,Owner,No defect,Serious Injury
31-50,Below 1yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Evening,Unknown,Pickup,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
18-30,Above 10yr,Night,5-10yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
Under 18,Below 1yr,Afternoon,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
31-50,1-2yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
18-30,2-5yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
18-30,2-5yr,Morning,5-10yrs,Taxi,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Slight Injury
31-50,2-5yr,Morning,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Unknown,2-5yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Afternoon,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Evening,2-5yrs,Pickup,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Slight Injury
31-50,5-10yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,Above 10yr,Night,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Night,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Governmental,No defect,Slight Injury
Over 51,Above 10yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Unknown,2-5yr,Morning,Below 1yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Afternoon,Above 10yr,Unknown,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,1-2yr,Public_transport,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
Unknown,Unknown,Afternoon,Unknown,Bicycle,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Unknown,Unknown,Slight Injury
31-50,2-5yr,Afternoon,Unknown,Pickup,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
Unknown,5-10yr,Morning,Above 10yr,Lorry,Normal,Gravel roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Morning,5-10yrs,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Morning,1-2yr,Lorry,Normal,Earth roads,Daylight,Employee,Owner,No defect,Serious Injury
31-50,5-10yr,Evening,Above 10yr,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Evening,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
